"_federal_accountability_status"	overall_grade	additional_credit	environment_grade	peer_index_	overall_score	principal	progress_category_score	dbn	_progress_report_grade	school	environment_category_score	performance_category_score	progress_grade	district	progress_report_type	performance_grade	_quality_review_score	school_level_	_school_support_organization
In Good Standing	A	4.5	B	39.03	62.4	Raquel Victoria Demillio	33.2	25Q165	A	P.S. 165 EDITH K. BERGTRAUM	7.8	16.9	A	25	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	B	0	B	16.70	55.1	Annette Kunin	30.4	25Q169	C	P.S. 169 BAY TERRACE	9	15.7	B	25	ESMS	A	Well Developed	Elementary School	CEI-PEA
In Good Standing	B	3	B	18.69	51.6	Dora Pantelis	25.1	25Q184	A	P.S. 184 FLUSHING MANOR	7.8	15.7	B	25	ESMS	A	Well Developed	Elementary School	ICI
In Need of Improvement - Year 1	B	3	C	3.43	60.2	Valerie Sawinski	33.2	25Q185	B	J.H.S. 185 EDWARD BLEEKER	5.4	18.6	B	25	ESMS	A	Well Developed	Middle School	ICI
In Need of Improvement - Year 2	B	0	A	3.45	57.1	Cindy Diaz-Burgos	30	25Q189	B	J.H.S. 189 DANIEL CARTER BEARD	10.5	16.6	B	25	ESMS	B	Well Developed	Middle School	ESO
In Good Standing	C	0.75	D	18.52	36	Joyce E. Bush	21.5	25Q193	B	P.S. 193 ALFRED J. KENNEDY	3.9	9.8	C	25	ESMS	C	Proficient	Elementary School	ICI
In Good Standing	B	1.5	B	3.58	52.4	Anne Marie Iannizzi	25.7	25Q194	A	J.H.S. 194 WILLIAM CARR	7.8	17.4	C	25	ESMS	B	Well Developed	Middle School	ICI
In Good Standing	C	0	C	42.85	43.7	Denize Brewer	24.7	25Q200	B	P.S. 200 POMONOK	6.3	12.7	C	25	ESMS	C	Proficient	K-8	ICI
In Good Standing	A	3.75	A	58.06	67.1	Brett Douglas Gallini	40.4	25Q201	B	P.S. 201 KISSENA	9.2	13.7	A	25	ESMS	B	Well Developed	Elementary School	ICI
In Good Standing	B	0	A	16.35	52.7	Mary Mcdonnell	25.7	25Q209	A	P.S. 209 CLEARVIEW GARDENS	9.2	17.8	B	25	ESMS	A	Well Developed	Elementary School	Fordham
In Good Standing	A	1.5	B	38.41	76.2	Wendy Goldberg	42.1	25Q214	A	P.S. 214 CADWALLADER COLDEN	8.3	24.3	A	25	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	10.5	B	47.99	90.2	Meredith Deckler	53.7	25Q219	B	P.S. 219 PAUL KLAPPER	9.1	16.9	A	25	ESMS	B	Well Developed	K-8	ICI
In Corrective Action	B	5.25	A	3.43	59.8	Joseph Cantara	28.3	25Q237	B	I.S. 237	10.2	16	B	25	ESMS	B	Proficient	Middle School	ICI
In Good Standing	C	0	C	3.40	40.4	Marc Rosenberg	22.1	25Q250	A	I.S. 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SCHOOL	6.1	12.2	C	25	ESMS	C	Proficient	Middle School	ICI
In Good Standing	B	1.5	A	3.57	53.5	Elizabeth Ophals	25	25Q252	B	QUEENS SCHOOL OF INQUIRY THE	10.8	16.2	C	25	ESMS	B	Well Developed	Middle School	CUNY
In Good Standing	A	6	A	2.38	73	Joseph Luft	40.9	25Q263		FLUSHING INTERNATIONAL HIGH SCHOOL	14.6	11.5	A	25	HS	B	Well Developed	High School	ESO
In Good Standing	B	0.75	B	3.54	63.5	Ben Sherman	35.7	25Q281		EAST-WEST SCHOOL OF INTERNATIONAL STUDIES	7.5	19.5	A	25	ESMS	A	Well Developed	Middle School	New Visions
""				2.71		Ben Sherman		25Q281		EAST-WEST SCHOOL OF INTERNATIONAL STUDIES				25	HS			High School	New Visions
In Good Standing		4															Well Developed		
In Good Standing	C	0	A	3.58	44.5	Cynthia Schneider	18.6	25Q285		WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL	10.4	15.5	C	25	ESMS	B	Well Developed	Middle School	ESO
""				2.74		Cynthia Schneider		25Q285		WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL				25	HS			High School	ESO
In Good Standing		2															Well Developed		
""				3.54		Cheryl Quatrano		25Q294		BELL ACADEMY				25	ESMS			Middle School	ICI
In Good Standing																			
In Need of Improvement - Year 1	B	2	C	2.26	47.7	Howie Kwait	30	25Q425	C	JOHN BOWNE HIGH SCHOOL	5.2	10.5	B	25	HS	B	Proficient	High School	ICI
In Corrective Action	B	2	B	2.27	44.2	Cornelia Gutwein	26.8	25Q460	C	FLUSHING HIGH SCHOOL	5.9	9.5	B	25	HS	C	Proficient	High School	ICI
In Good Standing	C	0	A	31.12	39.5	Anastasia Schneider	10.6	25Q499	A	THE QUEENS COLLEGE SCHOOL FOR MATH SCIENCE AND TECHNOLOGY	10.7	18.2	D	25	ESMS	A	Well Developed	K-8	ESO
In Good Standing	A	0	A	3.98	79.7	Thomas Cunningham	44.5	25Q525	A	TOWNSEND HARRIS HIGH SCHOOL	11.2	24	A	25	HS	A	Outstanding	High School	ICI
In Good Standing	B	4	A	2.53	60.1	Ira Pernick	29.8	25Q670	B	ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL	11.2	15.1	B	25	HS	B	Well Developed	High School	ICI
""				2.46		Winston Mccarthy		25Q792		NORTH QUEENS COMMUNITY HIGH SCHOOL				25	HS			Transfer School	New Visions
""		2.5																	
In Good Standing																			
In Good Standing	B	0.75	A	19.25	57.1	Kathleen Peknic	26.6	26Q018	B	P.S. 018 WINCHESTER	11	18.7	B	26	ESMS	A	Proficient	Elementary School	ICI
In Good Standing	B	1.5	B	20.59	56.4	Dina Koski	30.4	26Q026	A	P.S. 026 RUFUS KING	8.3	16.2	B	26	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	2.25	B	22.93	62.3	Terri Graybow	37	26Q031	A	P.S. 031 BAYSIDE	7.9	15.1	A	26	ESMS	B	Well Developed	Elementary School	ICI
In Good Standing	A	0	A	14.51	59.8	Sari Latto	27.9	26Q041	B	P.S. 041 CROCHERON	13.4	18.5	B	26	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	1.5	A	26.24	81.6	Marsha Goldberg	46.2	26Q046	A	P.S. 046 ALLEY POND	13	20.9	A	26	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	B	3.75	B	3.80	63.5	Zoi Mcgrath	31.9	26Q067	A	J.H.S. 067 LOUIS PASTEUR	8.3	19.5	B	26	ESMS	A	Well Developed	Middle School	ICI
In Good Standing	B	3	B	3.82	62.8	Andrea Dapolito	31.9	26Q074	A	J.H.S. 074 NATHANIEL HAWTHORNE	9	18.9	B	26	ESMS	A	Well Developed	Middle School	ICI
In Good Standing	B	0	A	14.99	58.5	Joann Barbeosch	28.9	26Q094	A	P.S. 094 DAVID D. PORTER	10.9	18.7	B	26	ESMS	A	Proficient	Elementary School	ICI
In Good Standing	A	0	A	11.72	68.1	Sheila Huggins	37.4	26Q098	B	P.S. 098 THE DOUGLASTON SCHOOL	10.6	20.1	A	26	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	0.75	A	25.75	71.2	James Ambrose	44.3	26Q115	B	P.S. 115 GLEN OAKS	11	15.1	A	26	ESMS	B	Proficient	Elementary School	ICI
In Good Standing	A	3	A	25.11	81.9	Shelley Steppel	52.8	26Q133	A	P.S. 133 QUEENS	10.4	15.7	A	26	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	9.75	B	3.61	70	Marie Nappi	35.8	26Q158	A	M.S. 158 MARIE CURIE	7.2	17.2	A	26	ESMS	B	Proficient	Middle School	ICI
In Good Standing	A	0.75	A	20.41	68.6	Marlene Zucker	34.4	26Q159	C	P.S. 159	11.7	21.7	A	26	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	0	A	16.68	64	Dena Poulos	33.8	26Q162	A	P.S. 162 JOHN GOLDEN	11.2	19	A	26	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	B	3.75	B	3.62	63.2	Jeffrey Slivko	35.5	26Q172	A	IRWIN ALTMAN MIDDLE SCHOOL 172	6.8	17.1	A	26	ESMS	B	Well Developed	Middle School	ICI
In Good Standing	A	3	A	19.27	81.2	Molly Wang	47	26Q173	C	P.S. 173 FRESH MEADOWS	11.2	20	A	26	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	B	2.25	C	18.69	57.3	Jennifer\u00A0Carre\u00F3n\u00A0Ambert	29.9	26Q178	A	P.S./ IS 178 HOLLISWOOD	7.5	17.6	B	26	ESMS	B	Well Developed	K-8	ICI
In Good Standing	A	0	A	22.06	73.9	Dolores Troy-Quinn	40.1	26Q186	C	P.S. 186 CASTLEWOOD	12.3	21.5	A	26	ESMS	A	Proficient	Elementary School	ICI
In Good Standing	A	0	A	10.37	90.1	Janet Caraisco	51.7	26Q188	B	P.S. 188 KINGSBURY	13.9	24.5	A	26	ESMS	A	Proficient	Elementary School	ICI
In Good Standing	A	0	A	18.91	66.4	Michael Ranieri	31.9	26Q191	A	P.S. 191 MAYFLOWER	13.9	20.6	B	26	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	0	A	15.43	61.7	Carole Nussbaum	26.8	26Q203	B	P.S. 203 OAKLAND GARDENS	12.4	22.5	B	26	ESMS	A	Outstanding	Elementary School	ICI
In Good Standing	B	0	A	14.14	57.5	Susan Sherer	22.3	26Q205	A	P.S. 205 ALEXANDER GRAHAM BELL	13.2	22	C	26	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	0	A	19.61	75.7	Bruce Baronoff	42.5	26Q213	A	P.S. 213 THE CARL ULLMAN SCHOOL	13	20.2	A	26	ESMS	A	Well Developed	Elementary School	ICI
Requiring Academic Progress - Year 3	A	6	B	3.59	67.3	Reginald Landeau	35.9	26Q216	B	J.H.S. 216 GEORGE J. RYAN	8.5	16.9	A	26	ESMS	B	Well Developed	Middle School	ICI
In Good Standing	A	0	A	12.33	70.8	Sheelia Twomey	39.2	26Q221	A	P.S. 221 NORTH HILLS	9.6	22	A	26	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	3	B	17.76	77	Nicole Denise Scott	45.2	26Q266	A	P.S. / I.S. 266	9.9	18.9	A	26	ESMS	A	Proficient	K-8	ICI
In Good Standing	B	7	B	3.07	55.3	Rick Hallman	29.2	26Q415	B	BENJAMIN N. CARDOZO HIGH SCHOOL	5.6	13.5	B	26	HS	B	Well Developed	High School	ICI
Requiring Academic Progress - Year 4	A	6	B	2.85	64.5	Jeffrey Scherr	35.4	26Q430	B	FRANCIS LEWIS HIGH SCHOOL	8.1	15	A	26	HS	B	Well Developed	High School	ICI
In Good Standing	B	6	C	2.43	58	Marilyn Shevell	32.5	26Q435	B	MARTIN VAN BUREN HIGH SCHOOL	3.6	15.9	B	26	HS	B	Proficient	High School	ESO
Requiring Academic Progress - Year 1	B	7	B	3.01	57.1	Judith Tarlo	32.8	26Q495	B	BAYSIDE HIGH SCHOOL	6.1	11.2	B	26	HS	B	Well Developed	High School	ICI
In Good Standing	A	8	B	2.72	68.1	Nigel Pugh	34.5	26Q566	B	QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES	8.5	17.1	B	26	HS	A	Well Developed	High School	ESO
Restructuring - Year 2	D	0	C	55.03	30.1	Riva Madden	17.9	27Q042	B	P.S. 042 R. VERNAM	4.8	7.4	D	27	ESMS	D	Proficient	K-8	KLSO
In Good Standing	C	1.5	C	55.47	45.8	John Quattrocchi	22.2	27Q043	C	P.S. 043	6.8	15.3	C	27	ESMS	B	Well Developed	K-8	ESO
In Good Standing	A	4.5	B	54.93	73.9	Evelyn Terrell	44.2	27Q045	B	P.S. 045 CLARENCE WITHERSPOON	7.6	17.6	A	27	ESMS	A	Proficient	Elementary School	KLSO
In Good Standing	B	0	A	24.15	51.3	Patricia Tubridy	23.1	27Q047	A	P.S. 047 CHRIS GALAS	10.9	17.3	C	27	ESMS	B	Well Developed	K-8	KLSO
Planning for Restructuring	B	3	A	2.87	59.6	Claude Monereau	30.1	27Q053	C	I.S. 053 BRIAN PICCOLO	10.2	16.3	B	27	ESMS	B	Well Developed	Middle School	ESO
In Good Standing	B	3	B	37.65	46.2	Ann Leiter	20.3	27Q056	B	P.S. 056 HARRY EICHLER	8.3	14.6	C	27	ESMS	B	Well Developed	Elementary School	ESO
In Good Standing	A	3	B	47.14	66.6	Frank Desario	36.6	27Q060	B	P.S. 060 WOODHAVEN	7.4	19.6	A	27	ESMS	A	Well Developed	Elementary School	KLSO
In Good Standing	A	4.5	A	33.95	62.4	Angela O'Dowd	33.2	27Q062	A	P.S. 062 CHESTER PARK	9.3	15.4	A	27	ESMS	B	Well Developed	Elementary School	ESO
In Good Standing	A	8.25	A	42.14	71	Deidra Graulich	35	27Q063	B	P.S. 063 OLD SOUTH	9.4	18.3	A	27	ESMS	A	Well Developed	Elementary School	ESO
In Good Standing	A	1.5	A	41.75	60.7	Laura Kaiser	30.2	27Q064	C	P.S. 064 JOSEPH P. ADDABBO	10.9	18.1	B	27	ESMS	A	Well Developed	Elementary School	KLSO
In Good Standing	B	0.75	A	40.34	51.3	Beth Longo	25.1	27Q065	C	P.S. 65 - THE RAYMOND YORK ELEMENTARY SCHOOL	11.9	13.5	B	27	ESMS	B	Well Developed	Elementary School	ESO
In Good Standing	A	0	A	50.31	72.7	Phyllis Leinwand	36.4	27Q066	B	P.S. 066 JACQUELINE KENNEDY ONASSIS	11.3	25	A	27	ESMS	A	Well Developed	Elementary School	KLSO
In Good Standing	A	9	B	46.04	67	Adrienne Ubertini	29.5	27Q090	C	P.S. 090 HORACE MANN	9	19.5	B	27	ESMS	A	Well Developed	Elementary School	KLSO
In Good Standing	B	0.75	B	48.02	52.6	Joyce Walker	26.2	27Q096	B	P.S. 096	9	16.6	B	27	ESMS	A	Well Developed	Elementary School	KLSO
In Good Standing	A	0.75	B	49.90	62.3	Maureen Ingram	34.9	27Q097	B	P.S. 097 FOREST PARK	6.8	19.8	A	27	ESMS	A	Well Developed	Elementary School	KLSO
In Good Standing	A	5.25	B	42.37	79.2	Michelle Betancourt	46.1	27Q100	A	P.S. 100 GLEN MORRIS	8	19.8	A	27	ESMS	A	Well Developed	Elementary School	ESO
In Good Standing	C	1.5	B	58.25	39.4	Katie Grady	21.9	27Q104	C	P.S. 104 THE BAYS WATER	7.7	8.3	C	27	ESMS	C	Well Developed	Elementary School	KLSO
In Good Standing	C	0	B	58.14	39.6	Laurie Shapiro	18.1	27Q105	D	P.S. 105 THE BAY SCHOOL	9.9	11.6	D	27	ESMS	C	Proficient	K-8	KLSO
In Good Standing	C	0.75	F	55.63	39.3	Marcella Sills	14.8	27Q106	C	P.S. 106	3.1	20.6	C	27	ESMS	A	Well Developed	Elementary School	KLSO
In Good Standing	A	5.25	A	31.72	68.9	Marie Biondollilo	38	27Q108	A	P.S. 108 CAPTAIN VINCENT G. FOWLER	9.9	15.7	A	27	ESMS	A	Outstanding	Elementary School	ESO
In Good Standing	C	0.75	B	11.63	47.6	Stephen P. Grill	22.3	27Q114	B	P.S. / M.S. 114 BELLE HARBOR	8.4	16.1	C	27	ESMS	B	Well Developed	K-8	KLSO
In Good Standing	B	1.5	B	62.02	53.8	Cynthia Sumay-Eaton	31.6	27Q123	D	P.S. 123	8.9	11.8	B	27	ESMS	B	Proficient	Elementary School	ICI
In Good Standing	B	1.5	A	40.79	55.2	Valarie Lewis	22.7	27Q124	C	P.S. 124 OSMOND A CHURCH	11.6	19.4	C	27	ESMS	A	Well Developed	K-8	ESO
In Corrective Action	B	3.75	B	3.36	61.8	Laura Mastrogiovanni	33.7	27Q137	B	M.S. 137 AMERICA'S SCHOOL OF HEROES	7.2	17.1	B	27	ESMS	B	Well Developed	Middle School	KLSO
In Good Standing	B	1.5	B	26.93	56.1	Mary Reilly	31.9	27Q146	B	P.S. 146 HOWARD BEACH	9.2	13.5	B	27	ESMS	B	Well Developed	K-8	KLSO
In Good Standing	B	1.5	B	49.58	57.6	Dorothy Morris	30.8	27Q155	F	P.S. 155	8.6	16.7	B	27	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	C	2.25	B	56.53	49.4	Renee Peart	26.2	27Q183	C	P.S. 183 DR. RICHARD R. GREEN	8.8	12.1	B	27	ESMS	C	Well Developed	K-8	KLSO
Restructuring - Year 1	B	2.25	B	63.18	58	Michael Koss	35.9	27Q197	B	P.S. 197 THE OCEAN SCHOOL	8	11.8	A	27	ESMS	B	Well Developed	Elementary School	KLSO
Requiring Academic Progress - Year 5	B	4.5	B	3.32	58.3	William Moore	29.8	27Q202	B	J.H.S. 202 ROBERT H. GODDARD	8	16	B	27	ESMS	B	Well Developed	Middle School	KLSO
In Good Standing	B	3.75	B	19.68	51	Linda Spadaro	25.1	27Q207	B	P.S. 207 ROCKWOOD PARK	8.6	13.5	B	27	ESMS	B	Proficient	K-8	KLSO
In Corrective Action	B	3	C	3.33	53.6	Rosalyn Allman-Manning	29.6	27Q210	C	J.H.S. 210 ELIZABETH BLACKWELL	5.2	15.8	B	27	ESMS	B	Proficient	Middle School	KLSO
In Good Standing	A	3	B	61.21	61.3	Susan Rippe	38.4	27Q215	B	P.S. 215 LUCRETIA MOTT	7.4	12.5	A	27	ESMS	B	Proficient	Elementary School	KLSO
In Need of Improvement - Year 1	A	3	B	55.04	71.8	Deborah Otto	43.8	27Q223	C	P.S. 223 LYNDON B. JOHNSON	8.4	16.6	A	27	ESMS	A	Proficient	Elementary School	ESO
Restructuring - Year 2	D	2.25	F	49.50	27.6	Matthew P. Melchiorre	15.8	27Q225	D	P.S. 225 SEASIDE	2.1	7.4	D	27	ESMS	D	Proficient	K-8	KLSO
Restructuring - Year 3	C	0	D	3.15	41.4	Sonia Nieves	23.2	27Q226	D	J.H.S. 226 VIRGIL I. GRISSOM	4.7	13.5	C	27	ESMS	C	Proficient	Middle School	KLSO
In Good Standing	B	9	B	31.56	66.3	Lisa Josephson	30.7	27Q232	B	P.S. 232 LINDENWOOD	10.3	16.3	B	27	ESMS	B	Well Developed	K-8	KLSO
In Good Standing	B	0.75	A	58.60	52.7	Robin Johnson	23.9	27Q253	B	P.S. 253	9.9	18.1	B	27	ESMS	A	Well Developed	Elementary School	KLSO
In Good Standing	A	3.75	A	49.42	91	Naomi Drouillard	48.4	27Q254	C	P.S. 254	13.8	25	A	27	ESMS	A	Well Developed	Elementary School	KLSO
In Good Standing	B	6	B	2.52	54.6	Linda Alfred	31.5	27Q260		FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL	6.6	10.5	B	27	HS	B	Well Developed	High School	KLSO
In Good Standing	C	0	B	3.45	39.9	Patricia Tubridy	15.8	27Q262	C	CHANNEL VIEW SCHOOL FOR RESEARCH	7.4	16.7	D	27	ESMS	B	Well Developed	Middle School	KLSO
In Good Standing	A	7	B	2.79	78.3	Patricia Tubridy	45.3	27Q262		CHANNEL VIEW SCHOOL FOR RESEARCH	7.3	18.7	A	27	HS	A	Well Developed	High School	KLSO
""				2.49		Alex Maysonet		27Q279		CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL				27	HS			High School	ESO
In Good Standing		7															Proficient		
In Good Standing	B	0.75	A	3.37	65.1	Peter Dalton	30.5	27Q282		KNOWLEDGE AND POWER PREPARATORY ACADEMY VI	13.3	20.5	B	27	ESMS	A	Well Developed	Middle School	KLSO
In Good Standing	B	0	A	4.02	60.4	Brian O'Connell	25.3	27Q323	B	SCHOLARS' ACADEMY	12.6	22.5	C	27	ESMS	A	Outstanding	Middle School	KLSO
""				3.68		Brian O'Connell		27Q323		SCHOLARS' ACADEMY				27	HS			High School	KLSO
In Good Standing		0															Outstanding		
In Good Standing	A	0	A	54.75	73.7	Angela Logan	37.1	27Q333		GOLDIE MAPLE ACADEMY	13.6	23	A	27	ESMS	A	Well Developed	Elementary School	ESO
Requiring Academic Progress - Year 4	B	3	B	2.05	44.5	Anthony Cromer	25.1	27Q400	D	AUGUST MARTIN HIGH SCHOOL	7.8	8.6	B	27	HS	C	Well Developed	High School	KLSO
Restructuring - Year 1	C	1	F	2.08	38.2	David Morris	22.7	27Q410	C	BEACH CHANNEL HIGH SCHOOL	3.3	11.2	C	27	HS	B	Proficient	High School	KLSO
""						Denise Hallett		27Q465		FAR ROCKAWAY HIGH SCHOOL				27	HS			High School	ESO
Restructuring - Year 2		3							D										
Requiring Academic Progress - Year 5	F	2	D	2.26	27.9	Ms. Frances Desanctis	17.2	27Q475	C	RICHMOND HILL HIGH SCHOOL	3.4	5.3	F	27	HS	F	Proficient	High School	ICI
Requiring Academic Progress - Year 5	D	2	F	2.25	33	Grace Zwillenberg	21.5	27Q480	C	JOHN ADAMS HIGH SCHOOL	3.1	6.4	C	27	HS	D	Well Developed	High School	KLSO
""				3.03		Quintin Cedeno		27Q650		HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE				27	HS			High School	ESO
In Good Standing		5															Well Developed		
In Need of Improvement - Year 1	B	4.5	D	3.04	58.8	John Murphy	35.2	28Q008	D	J.H.S. 008 RICHARD S. GROSSLEY	5.1	14	B	28	ESMS	B	Well Developed	Middle School	CEI-PEA
In Need of Improvement - Year 1	C	0	B	53.24	33	Dwayne Crowder	16.7	28Q030	D	P.S. 030 QUEENS	8.7	7.6	C	28	ESMS	D	Proficient	Elementary School	ICI
In Good Standing	C	3	C	60.27	44.4	Adrienne Lloyd	25.7	28Q040	B	P.S. 040 SAMUEL HUNTINGTON	4.7	11	B	28	ESMS	C	Well Developed	Elementary School	CLSO
In Good Standing	B	0.75	A	53.96	53.8	Patricia M. Mitchell	28.2	28Q048	C	P.S. 048 WILLIAM WORDSWORTH	10.2	14.6	B	28	ESMS	B	Proficient	Elementary School	ICI
In Good Standing	A	2.25	C	47.91	69.2	Maureen Lore	43.9	28Q050	B	P.S. 050 TALFOURD LAWN ELEMENTARY SCHOOL	5.9	17.1	A	28	ESMS	A	Proficient	Elementary School	ICI
In Need of Improvement - Year 1	A	4.5	B	46.81	67	Diane Jones	41.3	28Q054	C	P.S. 054 HILLSIDE	8.6	12.6	A	28	ESMS	B	Proficient	Elementary School	ICI
In Good Standing	A	6	B	38.82	65.5	Ralph K Honore	40	28Q055	A	P.S. 055 MAURE	7.7	11.8	A	28	ESMS	B	Proficient	Elementary School	ICI
Restructuring - Year 3	C	0.75	B	3.16	48.7	Chrystal Taylor-Brown	26.8	28Q072	B	M.S. Q072 CATHERINE & COUNT BASIE MIDDLE SCHOOL	6.9	14.2	B	28	ESMS	B	Proficient	Middle School	CEI-PEA
In Good Standing	A	3	A	58.78	60.5	Paulette Glenn	29.6	28Q080	B	P.S. 080 THURGOOD MARSHALL MAGNET	10.9	17	B	28	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	5.25	B	52.48	74.6	Angela Boykin	38.2	28Q082	B	P.S. 082 HAMMOND	8.6	22.5	A	28	ESMS	A	Proficient	Elementary School	ICI
In Need of Improvement - Year 1	B	5.25	C	47.62	59.1	Karen Zuvic	35.6	28Q086	A	P.S. Q086	5.7	12.5	A	28	ESMS	B	Proficient	Elementary School	ICI
In Good Standing	A	6	B	37.33	77.3	Paulette Foglio	45.7	28Q099	B	P.S. 099 KEW GARDENS	7.9	17.7	A	28	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	B	4.5	B	16.42	50.4	Ronnie Feder	23.3	28Q101	A	P.S. 101 SCHOOL IN THE GARDENS	6.5	16.1	C	28	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	5.25	B	38.44	67.8	Harvey Katz	36	28Q117	A	P.S. 117 J. KELD / BRIARWOOD SCHOOL	7.5	19	A	28	ESMS	A	Well Developed	Elementary School	ESO
In Good Standing	A	4.5	A	39.59	68.2	Henry Somers	36.4	28Q121	A	P.S. 121 QUEENS	10.4	16.9	A	28	ESMS	A	Outstanding	Elementary School	ICI
In Good Standing	B	1.5	B	27.50	58.1	Monica Bridget Powers-Meade	34.1	28Q139	A	P.S. 139 REGO PARK	6.8	15.7	A	28	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	3.75	B	54.58	65.2	Elaine Brittenum	40.1	28Q140	B	P.S. 140 EDWARD K ELLINGTON	7.3	14	A	28	ESMS	B	Well Developed	Elementary School	ICI
Requiring Academic Progress - Year 1	B	0	B	21.16	50	Reva Gluck Schneider	28.8	28Q144	C	P.S. 144 COL JEROMUS REMSEN	7.5	13.7	B	28	ESMS	B	Well Developed	Elementary School	ICI
Requiring Academic Progress - Year 4	B	4.5	B	3.42	63.4	Vincent Suraci	34.9	28Q157	B	J.H.S. 157 STEPHEN A. HALSEY	7.4	16.6	B	28	ESMS	B	Well Developed	Middle School	ICI
""				2.11		Vincent Suraci		28Q157		J.H.S. 157 STEPHEN A. HALSEY				28	HS			High School	ICI
Requiring Academic Progress - Year 4		0															Well Developed		
In Good Standing	B	3	B	57.92	55.7	Jermaine Garden	28.6	28Q160	A	P.S. 160 WALTER FRANCIS BISHOP	8.4	15.7	B	28	ESMS	A	Proficient	Elementary School	ICI
In Good Standing	A	6	A	39.17	69	Jill Hoder	35.2	28Q161	A	P.S. 161 ARTHUR ASHE SCHOOL	10	17.8	A	28	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	B	6.75	C	22.90	46.8	Karin Kelly	25.1	28Q174	C	P.S. 174 WILLIAM SIDNEY MOUNT	6.3	8.6	B	28	ESMS	C	Well Developed	Elementary School	ICI
In Good Standing	A	7.5	A	31.11	80.9	Linda Green	45.1	28Q175	A	P.S. 175 THE LYNN GROSS DISCOVERY SCHOOL	10.2	18.1	A	28	ESMS	A	Well Developed	Elementary School	ICI
Requiring Academic Progress - Year 1	A	6.75	C	3.57	66.8	Marilyn Grant	37.9	28Q190	C	J.H.S. 190 RUSSELL SAGE	6.4	15.7	A	28	ESMS	B	Proficient	Middle School	ICI
""				2.65		Marilyn Grant		28Q190		J.H.S. 190 RUSSELL SAGE				28	HS			High School	ICI
Requiring Academic Progress - Year 1		0															Proficient		
In Good Standing	A	3	B	13.22	61.3	Mary Hughes	31	28Q196	A	P.S. 196 GRAND CENTRAL PARKWAY	7.7	19.6	B	28	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	B	1.5	D	41.86	46.8	Nicholas Bologna	28	28Q206	C	P.S. 206 HORACE HARDING	4.1	13.2	B	28	ESMS	B	Well Developed	Elementary School	ICI
Restructuring - Year 4	B	5.25	B	3.27	57.8	Patrick Michael Burns	30.7	28Q217	B	J.H.S. 217 ROBERT A. VAN WYCK	6.8	15	B	28	ESMS	B	Well Developed	Middle School	ICI
In Good Standing	B	0.75	B	37.77	47.8	Josette Pizarro	32.3	28Q220	C	P.S. 220 EDWARD MANDEL	6.7	8	B	28	ESMS	C	Well Developed	Elementary School	ICI
In Good Standing	A	0	A	3.47	73.6	Deborah E. Burnett	38	28Q284		YORK EARLY COLLEGE ACADEMY	15	20.6	A	28	ESMS	A	Proficient	Middle School	CUNY
Requiring Academic Progress - Year 4	B	11	C	2.83	62.1	Stephen Frey	35.2	28Q440	B	FOREST HILLS HIGH SCHOOL	4.5	11.4	A	28	HS	B	Proficient	High School	ICI
Requiring Academic Progress - Year 5	C	0	B	2.22	37.3	Walter Acham	22.7	28Q470	C	JAMAICA HIGH SCHOOL	6.5	8.1	C	28	HS	C	Proficient	High School	ICI
In Good Standing	B	5	A	2.42	52.7	Stephen Duch	28.7	28Q505	C	HILLCREST HIGH SCHOOL	9.6	9.4	B	28	HS	C	Well Developed	High School	New Visions
In Need of Improvement - Year 1	B	2.5	B	2.35	45.2	Beverly Short	26.7	28Q540	C	QUEENS ACADEMY HIGH SCHOOL	8.4	7.6	B	28	HS	D	Proficient	Transfer School	ESO
